cavity,group,folder,CRMS_Real,CRMS_Res,supp,variance_explained,variance_explained_percent,mean_blrms,CRMS_Delay_Res,supp_Delay
DARM,LOFO_Training,1424916018,8.69755239084743e-07,1.2169000832922284e-07,7.147301993206278,0.9804243705883977,98.04243705883977,643.8761315534753,5.749200044287767e-07,1.5128282759075427
DARM,LOFO_Training,1420675218,1.0030075678222062e-06,9.837468361548059e-08,10.195789515752702,0.9903803720047948,99.03803720047948,842.9177510055118,6.523655831254362e-07,1.5374930771437536
DARM,LOFO_Training,1422266402,9.352011960111473e-07,1.153293708915281e-07,8.108959485183888,0.9847920828156748,98.47920828156748,943.7833880620644,6.362833691559798e-07,1.4697872698632333
DARM,LOFO_Training,1417615060,7.54501414618685e-07,8.664326917343209e-08,8.708136498271028,0.9868128925707114,98.68128925707114,1054.420938861272,4.646310028565038e-07,1.6238722986199534
DARM,LOFO_Training,1417838418,7.394500939384891e-07,9.410469850923888e-08,7.857738302683074,0.9838041077638553,98.38041077638553,806.5294999380309,4.6713974408597147e-07,1.582931239099198
DARM,LOFO_Training,1422316818,6.450278063537051e-07,1.4212047913071513e-07,4.538598591132258,0.9514536646013366,95.14536646013366,804.7724373358416,4.530395762934137e-07,1.4237780540743512
DARM,LOFO_Training,1424689218,7.331226108898352e-07,7.969563339183546e-08,9.199031109839213,0.9881827662857549,98.81827662857549,1023.6653144097806,5.315596654306339e-07,1.3791915725883914
DARM,LOFO_Training,1420416018,1.1419495391158545e-06,1.0266691860255179e-07,11.12285782664438,0.9919170995898297,99.19170995898297,731.2278478769425,7.063144830854866e-07,1.6167720844790352
DARM,LOFO_Training,1418934929,1.0383091977011039e-06,1.2128726184371879e-07,8.560743988424665,0.986354891890277,98.63548918902771,1185.0131948810701,7.230906941117705e-07,1.4359321813379735
DARM,LOFO_Training,1420851618,1.164978640695073e-06,1.3526967725849893e-07,8.612267466779056,0.9865176690990346,98.65176690990346,756.2580755510347,7.506301125402728e-07,1.5520009405865256
DARM,LOFO_Training,1424736018,8.67277392175117e-07,9.363984519654598e-08,9.261841370569753,0.9883425027129819,98.83425027129819,899.4156661191275,6.515320312291568e-07,1.3311354631927195
DARM,LOFO_Training,1417846196,7.63851641720534e-07,1.0297445917133935e-07,7.417874761056624,0.9818263982590688,98.18263982590688,895.5645857176238,4.900633322083721e-07,1.5586794430801216
DARM,LOFO_Training,1420344018,9.800422765001562e-07,1.4325948056370892e-07,6.841029107768694,0.9786323321878608,97.86323321878608,745.3890610746917,6.496919063003241e-07,1.5084723497342225
DARM,LOFO_Training,1423267218,5.454367176543484e-07,7.494394411861101e-08,7.277929178521828,0.9811207668564904,98.11207668564904,756.0778987883307,3.811005950545189e-07,1.4312145526204707
DARM,LOFO_Training,1423274418,5.924548814065935e-07,7.604283014089796e-08,7.791068274403358,0.9835257375775954,98.35257375775954,796.0476563581285,4.182007941580979e-07,1.4166756488334644
